symbol,timeframe,strategy,trades,wins,losses,winrate,total_pnl,avg_pnl
BTC/USDT:USDT,15m,"RSI,RSX,WT,EMA,SWEEP",39,17,22,43.59,2.95,0.08
ETH/USDT:USDT,15m,"WT,EMA,BOS,SWEEP",24,12,12,50.0,2.85,0.12
BTC/USDT:USDT,15m,"WT,EMA,BOS,SWEEP",38,17,21,44.74,2.84,0.07
BTC/USDT:USDT,15m,"RSI,WT,EMA,BOS,SWEEP",38,17,21,44.74,2.84,0.07
ETH/USDT:USDT,15m,"RSI,WT,EMA,BOS,SWEEP",26,13,13,50.0,2.82,0.11
SOL/USDT:USDT,5m,"RSX,WT,EMA,BOS,SWEEP",36,15,21,41.67,2.79,0.08
BTC/USDT:USDT,15m,"RSI,WT,EMA,SWEEP",29,13,16,44.83,2.78,0.1
BTC/USDT:USDT,15m,"WT,EMA,SWEEP",29,13,16,44.83,2.78,0.1
BTC/USDT:USDT,15m,"RSI,RSX,WT,EMA,BOS,SWEEP",47,20,27,42.55,2.67,0.06
SOL/USDT:USDT,15m,"RSI,RSX,WT,EMA,SWEEP",37,17,20,45.95,2.66,0.07
ETH/USDT:USDT,15m,"RSX,WT,EMA,BOS,SWEEP",28,12,16,42.86,2.46,0.09
SOL/USDT:USDT,5m,"WT,EMA,SWEEP",19,7,12,36.84,2.33,0.12
SOL/USDT:USDT,5m,"RSI,WT,EMA,SWEEP",19,7,12,36.84,2.33,0.12
BTC/USDT:USDT,1h,"RSX,WT,EMA",2,2,0,100.0,1.89,0.94
SOL/USDT:USDT,1h,"RSX,EMA,SWEEP",1,1,0,100.0,1.8,1.8
SOL/USDT:USDT,1h,"RSX,EMA,BOS,SWEEP",1,1,0,100.0,1.8,1.8
SOL/USDT:USDT,5m,"RSX,WT,EMA,SWEEP",23,8,15,34.78,1.74,0.08
DOGE/USDT:USDT,1h,"RSX,WT,EMA,BOS,SWEEP",46,22,24,47.83,1.68,0.04
BTC/USDT:USDT,1h,"WT,EMA,BOS",18,8,10,44.44,1.21,0.07
BTC/USDT:USDT,1h,"RSI,WT,EMA,BOS",18,8,10,44.44,1.21,0.07
